Auction Title ,Auction Id,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
2003 Bobcat Zero Turn Mower,80230,OFM-SHERIFF,1/23/2014,"$2,025.00 ",$0.00 ,0.23,$465.75 ,$465.75 ,Successful,1/28/2014,80000816,,34095,,Cashiers Check,"$3,000 ",$0.00 ,"$1,559.25 ",Enterprise,0
Dell Laptop,80231,ITS,1/27/2014,$43.51 ,$1.00 ,0.23,$10.00 ,$10.00 ,Successful,1/30/2014,,70105,,,3605130003,"$3,000 ",$0.00 ,$33.50 ,General Fund,0
Dell Laptop,80232,ITS,1/27/2014,$37.51 ,$0.86 ,0.23,$8.62 ,$8.62 ,Successful,1/28/2014,,70106,,,3605010182,"$3,000 ",$0.00 ,$28.88 ,General Fund,0
Dell Laptop,80233,ITS,1/27/2014,$37.51 ,$0.86 ,0.23,$8.62 ,$8.62 ,Successful,1/30/2014,,70062,,,3605130014,"$3,000 ",$0.00 ,$28.88 ,General Fund,0
Dell Laptop,80234,ITS,1/27/2014,$45.00 ,$1.04 ,0.23,$10.35 ,$10.35 ,Successful,1/28/2014,,70061,,,3605001742,"$3,000 ",$0.00 ,$34.65 ,General Fund,0
Dell Laptop,80235,ITS,1/27/2014,$42.00 ,$0.97 ,0.23,$9.66 ,$9.66 ,Successful,1/28/2014,,70063,,,3605001764,"$3,000 ",$0.00 ,$32.34 ,General Fund,0
Dell Laptop,80236,ITS,1/27/2014,$38.60 ,$0.89 ,0.23,$8.87 ,$8.87 ,Successful,1/30/2014,,70064,,,3605130026,"$3,000 ",$0.00 ,$29.72 ,General Fund,0
Dell Laptop,80237,ITS,1/27/2014,$37.51 ,$0.86 ,0.23,$8.62 ,$8.62 ,Successful,1/30/2014,,71620,,,3605130038,"$3,000 ",$0.00 ,$28.88 ,General Fund,0
Dell Laptop,80241,ITS,1/27/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/28/2014,,70108,,,3605011670,"$3,000 ",$0.00 ,$1.54 ,General Fund,0
Lanier Cassette Duplicator,80244,DISTRICT ATTORNEY,1/27/2014,$6.50 ,$0.15 ,0.23,$1.49 ,$1.49 ,Successful,1/28/2014,,DA-71498,,,3604965437,"$3,000 ",$0.00 ,$5.00 ,Enterprise,0
